ct,dose
1078.0,73.927
1069.0,73.495
1051.0,72.3
980.0,71.048
988.0,70.269
946.0,68.616
621.0,64.229
65.0,56.035
72.0,47.005
120.0,39.337
477.0,20.957
1503.0,25.864
2288.0,27.316
1792.0,28.73
1271.0,32.998
1108.0,38.561
1048.0,44.38
1037.0,49.221
1019.0,53.531
1029.0,56.758
1038.0,58.774
1034.0,59.043
1021.0,57.618
1016.0,57.008
1002.0,58.673
1002.0,63.639
1014.0,67.43
1041.0,67.477
1061.0,65.565
1060.0,64.842
1050.0,65.141
1047.0,67.348
1055.0,68.886
1088.0,69.292
1132.0,68.958
1433.0,68.735
2114.0,68.255
2446.0,68.649
2606.0,69.097
2665.0,70.402
2631.0,71.874
2432.0,73.229
1768.0,73.664
1054.0,73.694
793.0,72.195
198.0,70.933
77.0,69.523
78.0,67.434
97.0,62.806
426.0,54.95
1301.0,46.605
1399.0,22.907
1410.0,27.943
1478.0,28.857
1303.0,28.743
996.0,31.885
965.0,37.4
1027.0,42.388
1042.0,46.795
1041.0,50.5
1035.0,54.612
1019.0,56.765
1005.0,57.215
1004.0,56.446
1003.0,56.262
998.0,58.308
1012.0,63.568
1014.0,68.145
1021.0,68.671
1040.0,67.513
1058.0,67.454
1070.0,68.274
1537.0,69.945
2403.0,71.309
2272.0,70.987
1948.0,69.364
1633.0,67.61
1547.0,65.974
1343.0,65.321
1362.0,66.464
2048.0,68.649
2592.0,70.542
1469.0,72.344
786.0,73.224
269.0,72.699
34.0,71.362
34.0,69.265
51.0,66.999
237.0,63.787
1070.0,58.319
1532.0,50.92
1345.0,23.679
1307.0,28.829
1283.0,29.41
569.0,28.093
52.0,30.347
55.0,35.535
157.0,40.941
304.0,44.91
260.0,48.31
202.0,52.027
143.0,54.494
74.0,54.805
55.0,54.344
135.0,55.006
381.0,58.136
831.0,63.491
827.0,68.649
1032.0,69.315
1027.0,68.649
1075.0,68.785
1445.0,69.753
1479.0,71.529
1552.0,72.888
1565.0,71.566
1440.0,68.747
1249.0,65.237
1325.0,62.36
1354.0,61.578
1823.0,62.484
2544.0,65.772
1859.0,68.449
1057.0,70.833
652.0,71.65
75.0,71.101
118.0,68.649
92.0,65.803
55.0,61.882
84.0,56.81
560.0,50.869
1380.0,21.577
1357.0,26.589
1398.0,27.0
1253.0,25.449
867.0,27.612
177.0,33.075
20.0,38.716
27.0,42.616
26.0,45.263
28.0,48.643
29.0,50.617
3.0,50.769
10.0,51.204
67.0,52.994
485.0,56.341
995.0,62.362
1050.0,67.568
1050.0,68.649
1058.0,68.649
1214.0,68.649
1321.0,69.703
1311.0,71.271
1352.0,71.983
1412.0,70.587
1360.0,66.576
1627.0,61.843
2015.0,58.696
2140.0,57.611
2179.0,58.447
1927.0,60.889
1490.0,63.897
1103.0,66.649
998.0,67.906
983.0,66.366
735.0,63.079
122.0,58.188
307.0,53.208
793.0,19.062
519.0,23.378
401.0,24.361
1252.0,23.161
1733.0,24.892
1517.0,29.389
1162.0,34.701
1003.0,38.991
457.0,41.099
35.0,43.005
20.0,44.728
17.0,45.178
19.0,46.169
18.0,48.809
33.0,52.776
445.0,58.655
986.0,63.454
1037.0,65.071
1051.0,65.125
1041.0,64.995
1041.0,65.414
1049.0,67.007
1091.0,67.657
1655.0,66.003
2262.0,61.905
2354.0,57.44
2426.0,54.824
2452.0,53.527
2361.0,53.398
1798.0,54.991
1243.0,57.043
1100.0,58.986
1109.0,59.528
1108.0,57.587
1090.0,53.584
1086.0,17.918
1018.0,21.607
969.0,22.227
952.0,20.87
358.0,21.28
4.0,24.816
319.0,30.238
97.0,34.996
889.0,37.282
1580.0,38.192
1514.0,38.935
1118.0,39.183
980.0,39.2
673.0,42.32
112.0,46.344
37.0,51.823
22.0,56.104
19.0,57.75
17.0,57.805
26.0,56.7
70.0,56.837
473.0,58.771
1007.0,59.563
1041.0,58.102
1034.0,54.298
1049.0,50.793
1038.0,48.183
1032.0,46.544
1048.0,45.618
1054.0,45.51
1055.0,46.518
1079.0,47.863
1086.0,16.72
1085.0,20.131
1096.0,20.892
1094.0,19.252
1074.0,19.144
1058.0,21.927
1038.0,26.277
1071.0,30.616
1084.0,32.926
1100.0,33.722
1093.0,33.579
1060.0,32.749
1033.0,32.176
965.0,33.482
822.0,37.595
225.0,15.663
39.0,18.973
16.0,19.828
250.0,18.491
1359.0,18.086
1322.0,19.891
1027.0,23.29
441.0,26.264
65.0,27.71
45.0,27.872
24.0,27.533
11.0,26.983
22.0,26.615
37.0,14.59
220.0,17.467
820.0,18.714
1034.0,17.362
1043.0,16.835
1046.0,18.44
1045.0,20.917
1033.0,23.128
1034.0,24.233
1041.0,12.992
1034.0,15.618
1031.0,17.035
1040.0,16.34
1057.0,10.179
1067.0,8.901
1070.0,10.16
1069.0,11.724
1054.0,13.779
1037.0,16.315
1038.0,18.106
1019.0,18.35
1045.0,18.288
1056.0,18.086
1079.0,17.848
1097.0,9.056
1064.0,10.322
1062.0,12.251
1004.0,14.82
986.0,17.552
747.0,19.35
154.0,19.585
29.0,19.594
34.0,19.133
163.0,19.438
1075.0,18.938
1829.0,19.363
939.0,20.899
127.0,23.206
38.0,25.292
36.0,24.997
25.0,8.917
16.0,10.651
36.0,13.098
191.0,15.74
872.0,18.095
1041.0,19.643
1049.0,19.532
1043.0,19.94
1053.0,20.32
1050.0,20.247
1055.0,20.358
1054.0,20.964
1055.0,22.886
1051.0,25.759
1039.0,28.038
1049.0,27.608
1060.0,24.611
1070.0,21.805
1075.0,20.816
1080.0,20.975
1082.0,21.267
1056.0,20.18
1045.0,18.52
1039.0,17.949
1053.0,9.427
1051.0,11.93
1069.0,15.128
1074.0,18.271
1056.0,19.976
1059.0,20.503
1021.0,20.14
958.0,20.331
824.0,21.053
196.0,21.123
239.0,21.105
470.0,22.158
1004.0,24.429
1434.0,27.736
1741.0,30.475
1520.0,29.857
356.0,26.423
22.0,23.523
29.0,22.686
26.0,23.138
17.0,23.855
52.0,23.437
538.0,22.017
1022.0,22.191
1054.0,23.586
1051.0,25.786
1053.0,28.047
1052.0,30.899
1053.0,10.351
1051.0,13.907
1052.0,18.442
1053.0,22.45
1059.0,23.555
1033.0,22.539
1034.0,21.704
1043.0,21.756
1063.0,22.561
1069.0,22.729
1069.0,22.938
1072.0,24.171
1067.0,27.128
1026.0,30.689
1034.0,33.441
1061.0,32.401
1059.0,28.487
1070.0,25.611
1081.0,24.335
1062.0,24.905
1052.0,25.578
1013.0,25.503
947.0,24.485
946.0,24.84
658.0,26.601
1172.0,28.905
946.0,31.75
633.0,35.502
249.0,37.636
899.0,37.857
1903.0,38.15
991.0,12.111
97.0,16.443
35.0,21.609
34.0,26.232
24.0,27.783
15.0,26.849
406.0,25.146
1004.0,24.678
1053.0,25.605
1050.0,26.025
1052.0,26.567
1059.0,28.59
1053.0,32.366
1056.0,36.436
1053.0,39.098
1058.0,37.932
1055.0,33.392
1042.0,29.557
1038.0,27.603
1019.0,27.515
1023.0,27.735
1049.0,27.37
1064.0,26.005
1069.0,26.307
1073.0,27.837
1049.0,30.215
1044.0,33.523
1056.0,38.023
1052.0,41.024
1067.0,42.699
1079.0,44.12
1060.0,45.709
1048.0,44.895
1016.0,13.463
975.0,18.203
975.0,24.332
557.0,29.479
50.0,30.915
54.0,29.1
37.0,27.234
38.0,27.04
395.0,28.209
1564.0,28.98
1050.0,30.306
269.0,32.723
57.0,37.029
43.0,41.059
28.0,43.137
85.0,41.522
611.0,37.231
1052.0,33.304
1062.0,30.934
1055.0,30.548
1054.0,30.171
1055.0,29.481
1058.0,28.01
1054.0,27.526
1058.0,28.901
1051.0,31.332
1044.0,35.225
1053.0,40.01
1043.0,43.939
1050.0,46.365
1059.0,48.533
1078.0,50.453
1075.0,50.568
1072.0,49.906
1064.0,49.137
1053.0,13.974
1047.0,19.169
1067.0,26.177
1080.0,31.556
1084.0,32.415
1065.0,30.539
1048.0,28.96
1011.0,29.49
963.0,31.058
935.0,32.084
676.0,33.623
1121.0,36.283
923.0,39.999
326.0,43.611
59.0,45.124
639.0,43.453
1654.0,39.417
1183.0,36.251
1006.0,34.022
710.0,33.39
172.0,32.669
54.0,31.808
18.0,30.147
87.0,29.386
749.0,30.166
1056.0,32.618
1056.0,36.443
1052.0,41.562
1050.0,46.049
1047.0,49.654
1047.0,51.665
1053.0,53.416
1052.0,53.621
1050.0,53.856
1048.0,54.307
1054.0,52.793
1060.0,13.998
1072.0,19.594
1070.0,26.968
1077.0,32.681
1073.0,33.623
1055.0,32.216
1078.0,31.71
1065.0,33.264
1070.0,35.18
1061.0,36.134
1071.0,37.597
1087.0,40.059
1062.0,43.268
1049.0,45.295
1002.0,45.601
946.0,44.108
864.0,41.167
233.0,39.124
130.0,37.453
141.0,36.573
103.0,35.208
616.0,34.006
690.0,32.195
717.0,30.926
1392.0,31.567
1346.0,33.784
1118.0,37.349
1060.0,42.122
837.0,46.923
200.0,50.94
15.0,53.452
374.0,54.875
980.0,55.198
1056.0,55.662
1050.0,56.449
1047.0,56.644
1045.0,54.596
1045.0,14.066
1035.0,19.664
1045.0,27.56
1041.0,34.025
1039.0,35.722
1041.0,35.246
1045.0,35.731
1064.0,37.877
1076.0,40.209
1093.0,41.206
1106.0,42.101
1101.0,44.52
1084.0,46.643
1064.0,46.886
1067.0,45.673
1098.0,43.947
1105.0,43.009
1102.0,42.312
1070.0,41.45
1057.0,39.597
991.0,38.067
968.0,36.591
724.0,35.321
329.0,34.056
1013.0,34.636
725.0,36.463
327.0,39.266
51.0,43.127
46.0,47.314
77.0,51.463
75.0,54.295
334.0,55.821
1319.0,56.362
1532.0,56.5
1287.0,57.634
607.0,58.839
30.0,58.583
37.0,56.771
183.0,52.378
758.0,14.28
1040.0,20.327
1052.0,28.951
1048.0,35.941
1029.0,39.083
1025.0,39.842
1032.0,41.184
1036.0,43.646
1036.0,46.037
1044.0,47.363
1062.0,48.229
1353.0,50.113
2138.0,50.976
2482.0,50.036
2524.0,47.767
2357.0,46.239
1955.0,46.158
1648.0,46.313
1392.0,44.96
1213.0,42.753
1141.0,41.279
1134.0,40.701
1075.0,40.11
1051.0,40.163
985.0,40.964
956.0,42.835
442.0,44.937
53.0,47.484
20.0,50.269
34.0,53.793
40.0,55.92
43.0,57.514
41.0,58.015
62.0,58.459
50.0,59.979
60.0,61.684
169.0,61.933
1245.0,61.744
1625.0,58.937
743.0,52.593
54.0,15.663
29.0,22.238
37.0,32.077
43.0,40.523
335.0,44.384
1002.0,46.52
1047.0,48.857
1038.0,51.284
1036.0,53.308
1035.0,54.482
1035.0,55.118
1039.0,55.749
1051.0,55.288
1345.0,53.356
1801.0,50.576
1412.0,49.638
1299.0,49.723
1393.0,49.76
1462.0,47.908
1393.0,45.552
1469.0,44.671
1890.0,45.524
2424.0,46.824
2473.0,47.765
1948.0,49.198
1152.0,51.163
1014.0,53.123
981.0,54.822
792.0,56.463
526.0,58.406
35.0,59.953
40.0,61.394
45.0,61.873
58.0,62.707
52.0,63.92
69.0,64.706
97.0,65.4
345.0,65.744
982.0,63.734
1578.0,57.622
1330.0,47.257
1000.0,18.403
852.0,26.18
893.0,37.1
921.0,47.111
698.0,51.886
253.0,54.639
105.0,56.87
512.0,59.352
970.0,60.358
1031.0,60.871
1045.0,61.264
1045.0,60.755
1050.0,59.211
1019.0,56.225
1209.0,53.145
1673.0,52.128
1800.0,52.589
1438.0,52.536
1323.0,50.412
1318.0,48.633
1406.0,48.689
1277.0,51.608
1543.0,53.553
1441.0,55.14
2182.0,56.741
2539.0,59.189
1413.0,60.62
1001.0,61.115
921.0,61.784
709.0,63.292
152.0,64.838
58.0,66.081
64.0,66.457
70.0,66.843
87.0,67.022
186.0,66.893
863.0,67.104
1606.0,67.502
1539.0,65.809
1226.0,59.616
1143.0,49.02
1084.0,37.813
1036.0,21.403
1038.0,30.174
1038.0,41.222
1047.0,50.838
1047.0,55.957
1044.0,59.254
1060.0,61.811
1066.0,63.453
1065.0,63.724
1036.0,64.242
1040.0,63.951
1052.0,63.573
1056.0,61.265
1052.0,57.832
1076.0,54.844
1135.0,54.225
1686.0,54.968
2388.0,55.259
2311.0,53.741
1889.0,52.175
1685.0,53.113
1651.0,56.497
1930.0,58.975
2510.0,60.247
2527.0,61.752
1538.0,63.814
999.0,65.073
827.0,65.287
224.0,65.475
15.0,66.828
54.0,68.225
60.0,69.681
51.0,70.247
229.0,70.12
1263.0,69.305
1716.0,68.649
1055.0,68.938
997.0,68.649
987.0,66.467
1006.0,60.95
990.0,50.56
962.0,40.192
966.0,23.926
971.0,32.737
985.0,42.995
991.0,51.339
1019.0,56.972
1049.0,60.752
1059.0,63.612
1037.0,64.867
1050.0,64.944
1056.0,65.201
1058.0,65.092
1052.0,64.175
1046.0,62.79
1055.0,59.43
1068.0,56.644
1088.0,56.294
1168.0,57.54
1382.0,58.579
1536.0,57.758
1612.0,56.569
1368.0,57.573
1164.0,61.134
1061.0,63.51
1024.0,64.082
1036.0,65.186
579.0,66.66
124.0,67.46
24.0,67.606
84.0,67.984
71.0,68.61
187.0,69.976
1081.0,72.483
1909.0,72.847
1218.0,72.296
1000.0,71.582
976.0,70.586
939.0,70.209
939.0,69.859
939.0,67.706
987.0,62.189
1001.0,53.535
711.0,44.211
401.0,39.267
515.0,25.046
761.0,33.964
920.0,43.551
987.0,51.522
955.0,56.76
956.0,60.555
972.0,64.148
1009.0,65.681
1015.0,65.172
1026.0,65.49
1021.0,64.938
1019.0,65.031
1001.0,63.689
1019.0,61.159
1059.0,59.01
1070.0,59.829
1046.0,61.386
987.0,61.73
965.0,60.486
1020.0,59.557
848.0,60.815
641.0,64.604
172.0,66.83
1715.0,67.129
1594.0,67.613
1561.0,68.496
1943.0,69.008
1567.0,68.793
1055.0,68.503
961.0,69.466
926.0,71.346
933.0,73.376
967.0,73.929
963.0,73.323
430.0,72.341
28.0,71.677
3.0,70.827
6.0,70.199
15.0,68.599
186.0,63.717
449.0,55.593
616.0,47.055
676.0,42.621
825.0,40.163
958.0,24.37
1022.0,33.2
1051.0,42.238
1029.0,49.371
1037.0,55.018
1045.0,59.808
1007.0,63.635
865.0,65.172
635.0,65.11
607.0,65.095
141.0,65.213
3.0,65.143
2071.0,64.01
2263.0,62.689
2136.0,61.606
1559.0,62.663
1104.0,64.247
1002.0,63.733
942.0,61.716
920.0,60.404
937.0,62.404
964.0,66.063
487.0,68.35
15.0,68.752
4.0,68.519
2.0,69.095
2.0,69.386
6.0,69.128
1.0,68.845
4.0,69.572
9.0,70.992
6.0,73.12
16.0,73.673
32.0,72.985
106.0,72.558
162.0,71.787
297.0,70.709
531.0,70.081
333.0,68.77
502.0,64.905
819.0,56.674
847.0,48.852
539.0,44.067
230.0,40.916
154.0,23.24
2.0,31.012
1298.0,39.344
1073.0,46.311
1046.0,52.229
1008.0,58.366
963.0,62.732
937.0,65.163
932.0,65.093
961.0,65.366
979.0,64.876
539.0,64.881
164.0,64.06
131.0,62.852
147.0,62.668
435.0,64.578
105.0,65.986
441.0,64.99
598.0,62.492
28.0,61.281
160.0,63.198
137.0,66.76
51.0,68.895
5.0,69.244
889.0,69.223
890.0,69.282
901.0,69.36
910.0,69.171
939.0,69.069
982.0,69.949
915.0,71.357
382.0,73.348
370.0,73.772
395.0,73.045
136.0,72.615
25.0,71.892
3.0,70.918
624.0,69.959
432.0,68.891
752.0,65.214
753.0,57.41
340.0,49.139
19.0,43.86
4.0,39.878
1.0,20.87
13.0,27.569
9.0,34.854
2.0,41.024
39.0,48.057
29.0,55.412
958.0,61.358
1004.0,64.537
1022.0,65.25
698.0,65.437
520.0,65.818
620.0,64.896
291.0,63.562
233.0,62.433
9.0,62.653
982.0,64.77
986.0,66.654
958.0,65.677
932.0,63.371
919.0,62.467
977.0,63.014
974.0,66.519
688.0,68.16
281.0,68.783
91.0,68.649
70.0,68.466
579.0,68.649
740.0,68.758
434.0,68.649
53.0,69.718
8.0,70.958
1960.0,73.06
1984.0,73.264
1348.0,72.991
1029.0,72.141
989.0,71.357
962.0,70.932
937.0,69.484
957.0,68.649
967.0,64.883
986.0,57.213
856.0,48.889
549.0,42.891
177.0,37.684
33.0,19.14
38.0,25.272
36.0,30.766
240.0,36.42
558.0,43.644
569.0,51.893
133.0,59.742
187.0,64.33
360.0,65.486
108.0,65.423
75.0,65.284
12.0,64.778
2138.0,63.021
2030.0,61.979
1602.0,62.649
1097.0,65.603
1081.0,67.688
1057.0,67.111
1015.0,65.227
969.0,63.544
934.0,63.262
930.0,65.501
965.0,67.169
1001.0,68.649
932.0,68.852
665.0,69.219
388.0,69.183
218.0,68.649
116.0,68.722
112.0,69.416
134.0,70.91
175.0,73.07
234.0,73.259
292.0,72.426
315.0,71.596
373.0,71.527
393.0,70.85
354.0,69.827
207.0,68.701
56.0,64.893
161.0,57.171
34.0,48.487
1.0,41.461
6.0,35.671
9.0,19.514
1177.0,24.607
1912.0,28.384
2137.0,32.516
1255.0,39.41
1037.0,47.752
1008.0,56.4
1002.0,62.393
993.0,64.307
969.0,64.502
933.0,64.164
914.0,63.542
941.0,62.403
976.0,62.357
999.0,63.524
1030.0,66.724
1016.0,69.366
1000.0,69.19
1002.0,67.243
1030.0,65.477
1027.0,64.395
995.0,65.757
975.0,67.151
963.0,68.482
943.0,69.059
977.0,69.852
986.0,70.107
991.0,70.115
990.0,69.781
1014.0,70.557
1000.0,71.838
861.0,73.452
521.0,73.251
148.0,72.918
67.0,72.046
7.0,71.756
207.0,71.498
886.0,70.911
1970.0,69.206
1613.0,64.035
998.0,56.447
992.0,47.985
963.0,41.356
955.0,20.888
974.0,24.798
951.0,27.438
937.0,30.441
928.0,36.488
913.0,44.021
923.0,52.085
925.0,58.938
920.0,61.95
919.0,62.896
921.0,63.31
943.0,63.382
947.0,62.424
954.0,62.596
967.0,63.864
984.0,67.496
991.0,70.872
1018.0,70.987
1043.0,68.948
1039.0,66.849
1008.0,66.139
986.0,67.158
979.0,68.152
960.0,69.36
944.0,70.047
1004.0,71.046
896.0,71.574
560.0,71.364
17.0,71.492
74.0,71.779
117.0,72.42
514.0,73.199
1915.0,73.866
1514.0,73.809
1040.0,72.86
1017.0,72.381
984.0,72.136
982.0,71.732
1027.0,69.323
1029.0,63.286
1031.0,55.145
999.0,47.368
938.0,40.994
943.0,23.755
922.0,27.853
915.0,29.061
923.0,30.08
943.0,35.205
977.0,41.908
1030.0,48.775
1038.0,54.881
1038.0,58.685
1025.0,61.262
1050.0,62.883
1086.0,63.411
1095.0,63.127
1206.0,63.01
1726.0,64.685
2103.0,68.47
2177.0,71.953
2178.0,72.161
1722.0,70.566
1269.0,69.049
983.0,68.392
625.0,69.869
155.0,71.1
53.0,71.989
56.0,71.889
85.0,71.8
397.0,72.023
1425.0,71.933
1855.0,72.027
1280.0,72.28
1056.0,72.869
1066.0,73.622
1059.0,73.905
1028.0,74.159
1032.0,73.56
1044.0,72.458
1039.0,72.671
1025.0,71.799
1016.0,68.649
1013.0,61.784
1016.0,54.652
1035.0,47.188
1034.0,26.121
1020.0,31.11
1005.0,31.457
1004.0,30.947
1025.0,34.641
1151.0,40.312
1796.0,46.047
2489.0,50.936
2606.0,55.06
2295.0,59.442
1759.0,62.165
1747.0,63.107
1728.0,62.641
1651.0,63.079
2316.0,64.952
2615.0,68.917
1507.0,72.304
607.0,72.673
113.0,71.595
34.0,70.881
38.0,70.638
62.0,71.656
94.0,72.571
747.0,73.043
1461.0,72.091
1398.0,71.652
1322.0,70.867
1219.0,70.938
830.0,71.43
707.0,71.984
922.0,72.774
1020.0,73.531
1029.0,73.76
1020.0,73.752
989.0,73.441
942.0,72.563
904.0,71.735
921.0,70.191
968.0,65.872
1034.0,58.252
1044.0,51.481
1042.0,26.867
1062.0,32.397
1473.0,31.991
2032.0,30.393
1713.0,33.168
1580.0,38.23
1399.0,43.836
1390.0,48.519
1383.0,52.736
1212.0,57.675
1519.0,61.166
1748.0,62.46
2472.0,61.734
2070.0,62.394
1110.0,64.892
680.0,69.091
66.0,72.708
22.0,73.035
39.0,72.557
49.0,71.779
86.0,71.942
710.0,73.005
1541.0,73.967
1356.0,73.536
1263.0,71.545
1313.0,69.474
1116.0,68.174
357.0,68.154
25.0,68.685
35.0,70.406
38.0,71.956
25.0,72.918
31.0,73.761
3.0,73.363
17.0,72.407
21.0,70.707
55.0,68.561
83.0,64.808
279.0,58.676
906.0,51.082
1098.0,23.382
1439.0,28.26
1661.0,28.184
1637.0,26.959
1361.0,29.753
1304.0,35.394
1744.0,41.217
1945.0,45.793
2059.0,50.287
2040.0,55.384
1964.0,59.286
1619.0,60.316
1192.0,60.203
1026.0,61.564
998.0,64.431
844.0,68.749
424.0,72.652
215.0,72.917
120.0,73.068
123.0,72.337
690.0,72.036
1396.0,73.093
1486.0,73.678
1364.0,72.51
1359.0,68.8
1478.0,65.029
1494.0,62.848
563.0,62.863
29.0,64.411
22.0,67.326
19.0,69.572
17.0,71.428
7.0,71.369
68.0,71.157
382.0,69.145
729.0,65.36
1016.0,60.913
1046.0,54.87
1053.0,19.853
1126.0,23.27
1556.0,23.696
1556.0,23.483
1494.0,26.393
1427.0,31.687
1974.0,37.545
2417.0,42.487
1768.0,46.604
1156.0,51.405
1083.0,55.536
1111.0,56.583
1084.0,57.461
1050.0,59.442
1009.0,63.079
987.0,67.56
968.0,71.432
884.0,72.311
382.0,72.246
47.0,71.096
348.0,70.473
1092.0,71.183
1395.0,71.209
1462.0,69.104
1603.0,64.908
1352.0,60.267
1161.0,57.88
1008.0,57.77
507.0,59.073
55.0,61.583
23.0,64.261
17.0,65.734
13.0,65.744
14.0,64.558
16.0,60.697
529.0,55.233
1011.0,17.678
1051.0,20.709
1053.0,21.326
1046.0,20.611
1047.0,22.391
1050.0,27.044
1057.0,33.141
1121.0,38.544
1289.0,42.164
1458.0,45.704
1576.0,49.155
1469.0,50.672
1210.0,51.805
1091.0,55.197
1073.0,59.321
1042.0,64.219
1076.0,67.604
1090.0,68.649
1093.0,68.465
1072.0,67.015
1050.0,65.922
998.0,65.58
969.0,65.858
805.0,63.414
322.0,58.921
969.0,54.557
315.0,51.88
170.0,50.675
1300.0,51.138
1611.0,51.798
1173.0,53.6
1019.0,54.568
633.0,54.292
88.0,52.343
31.0,16.812
20.0,19.598
18.0,20.336
15.0,19.448
26.0,20.678
60.0,24.75
559.0,29.857
1032.0,34.026
1046.0,37.522
1040.0,39.852
1044.0,42.063
1035.0,42.613
1032.0,44.173
1035.0,47.937
1028.0,52.956
1046.0,57.688
1075.0,60.713
1086.0,61.391
1085.0,60.345
1074.0,58.107
1065.0,57.025
1050.0,56.819
1023.0,56.43
1016.0,54.517
1055.0,50.74
1069.0,46.933
1085.0,43.779
1071.0,42.126
1051.0,41.416
1056.0,15.514
1002.0,18.626
985.0,19.501
595.0,18.839
42.0,20.025
655.0,23.168
103.0,27.013
42.0,30.399
653.0,32.365
1518.0,33.519
1074.0,34.196
446.0,34.742
60.0,35.97
43.0,38.992
24.0,43.522
14.0,47.662
18.0,50.044
30.0,50.872
156.0,50.561
753.0,49.482
1029.0,14.328
1044.0,17.638
1042.0,18.839
1038.0,18.166
1038.0,19.017
1031.0,21.805
1047.0,24.808
1045.0,27.091
1021.0,27.811
1027.0,27.697
1052.0,28.164
1064.0,28.321
1057.0,29.054
1037.0,31.24
1050.0,13.198
1047.0,15.999
1038.0,17.559
1015.0,17.378
1039.0,17.889
1048.0,20.217
1055.0,22.48
1063.0,9.977
1055.0,11.6
1058.0,14.193
1050.0,17.56
965.0,9.833
901.0,11.08
638.0,14.387
32.0,18.581
30.0,21.878
57.0,23.223
582.0,22.101
1701.0,20.488
1317.0,19.895
252.0,19.242
43.0,18.83
43.0,19.084
27.0,20.685
17.0,9.708
17.0,11.423
34.0,14.475
541.0,19.004
1014.0,22.395
1051.0,23.111
1042.0,22.355
1048.0,21.29
1050.0,20.869
1051.0,20.905
1047.0,20.781
1057.0,21.166
1064.0,23.178
1049.0,26.004
1052.0,29.067
1061.0,29.396
1066.0,26.599
1066.0,23.998
1069.0,22.819
1072.0,22.64
1060.0,9.712
1023.0,11.778
1016.0,15.334
1050.0,19.7
1058.0,22.421
1070.0,23.026
1074.0,22.077
1057.0,21.314
1059.0,21.304
1053.0,21.56
981.0,21.265
948.0,22.308
799.0,24.396
305.0,28.292
106.0,31.831
206.0,31.935
819.0,28.861
1292.0,26.073
1650.0,24.847
1830.0,24.713
788.0,24.502
62.0,23.109
34.0,21.121
26.0,20.408
13.0,21.124
18.0,9.902
121.0,13.077
821.0,17.375
1046.0,21.475
1044.0,23.591
1054.0,23.575
1059.0,22.337
1055.0,21.768
1060.0,21.733
1055.0,22.071
1057.0,22.375
1058.0,23.12
1060.0,26.156
1057.0,29.768
1061.0,33.341
1062.0,33.035
1065.0,30.205
1069.0,27.382
1072.0,26.097
1060.0,26.388
1035.0,26.362
1009.0,25.121
1056.0,23.388
1063.0,23.384
1063.0,24.66
1070.0,26.819
1051.0,29.774
1051.0,32.91
1041.0,34.574
989.0,11.091
966.0,15.049
783.0,20.9
209.0,25.528
1174.0,27.075
925.0,26.141
349.0,24.216
175.0,23.274
446.0,23.434
1586.0,23.841
1457.0,24.046
273.0,25.749
37.0,28.944
37.0,32.839
32.0,36.205
16.0,35.883
29.0,32.3
447.0,29.491
999.0,28.192
1048.0,28.377
1057.0,28.274
1056.0,27.229
1054.0,26.147
1055.0,26.368
1053.0,27.984
1055.0,30.482
1049.0,33.677
1053.0,37.409
1060.0,39.915
1051.0,40.705
1045.0,40.947
1042.0,12.696
1041.0,17.609
1050.0,23.308
1065.0,28.861
1047.0,31.314
1040.0,30.323
1047.0,27.932
1046.0,26.86
1052.0,27.045
1074.0,27.828
1060.0,28.399
1056.0,30.688
1038.0,34.826
1011.0,39.223
954.0,42.109
766.0,41.32
293.0,37.678
93.0,34.067
146.0,32.052
61.0,31.618
23.0,30.865
101.0,29.327
1072.0,27.961
1194.0,27.947
562.0,29.603
63.0,31.929
46.0,35.659
33.0,40.208
12.0,43.871
16.0,46.014
65.0,47.722
688.0,48.532
1037.0,47.826
1059.0,13.741
1061.0,19.377
1055.0,26.204
1058.0,32.093
1059.0,34.435
1051.0,32.963
1057.0,30.482
1055.0,29.987
1055.0,30.901
1049.0,32.081
1059.0,33.218
1061.0,35.69
1047.0,40.012
1064.0,44.109
1063.0,46.204
1040.0,45.078
1042.0,41.859
1042.0,38.97
1059.0,37.02
1071.0,35.683
1072.0,34.363
1052.0,32.11
1057.0,30.3
1040.0,29.891
991.0,31.139
974.0,33.511
810.0,37.392
235.0,42.324
848.0,46.825
1162.0,50.067
963.0,52.102
275.0,52.635
184.0,52.847
1247.0,51.987
1175.0,50.999
1005.0,14.377
736.0,20.447
173.0,28.592
49.0,35.052
19.0,37.009
1.0,35.339
273.0,33.526
947.0,34.088
1052.0,35.637
1056.0,36.883
1053.0,37.861
1057.0,40.8
1051.0,44.464
1056.0,47.566
1053.0,49.006
1056.0,47.699
1053.0,45.319
1060.0,43.462
1058.0,41.904
1067.0,40.101
1069.0,37.979
1078.0,35.456
1072.0,33.424
1059.0,32.259
1028.0,32.938
1039.0,35.268
1045.0,38.904
1078.0,44.101
1082.0,49.005
1075.0,52.662
1049.0,54.619
1040.0,55.655
1012.0,55.695
976.0,55.691
960.0,56.014
831.0,54.591
386.0,51.104
69.0,14.705
106.0,21.162
62.0,30.169
156.0,37.506
1025.0,40.06
1437.0,39.295
1416.0,38.413
1035.0,39.529
1024.0,41.328
1034.0,42.333
829.0,43.544
262.0,45.921
12.0,48.942
62.0,50.415
710.0,50.472
1039.0,49.274
1047.0,48.022
1041.0,47.719
1045.0,46.6
1041.0,44.288
1042.0,41.652
1047.0,39.565
1047.0,37.396
1043.0,36.686
1042.0,36.942
1052.0,38.865
